#,Scene,Name,Artists,Link(Spotify)
1,ゲスト入場,Shake It Off,Taylor Swift,https://open.spotify.com/intl-ja/track/1CiVz2WkmZRwhU3A6J2Gjz?si=c8aace8be64d432c
2,ゲスト入場,What Makes You Beautiful,One Direction,https://open.spotify.com/intl-ja/track/4cluDES4hQEUhmXj6TXkSo?si=267124ff83cb4d4f
3,ゲスト入場,Girlfriend,Avril Lavigne,https://open.spotify.com/intl-ja/track/45hOioMDJktr86iKDHC8gr?si=3c20c4f70a984428
4,オープニングムービー,Get Together,Yes Yes No Maybe,https://open.spotify.com/intl-ja/track/1Olg5I0gdcnoWJRK1bUk0n?si=3f8333a8c93844bf
5,新郎新婦入場,Classic,MKTO,https://open.spotify.com/intl-ja/track/6FE2iI43OZnszFLuLtvvmg?si=ad7aa6739661421c
6,新郎新婦紹介,In My Life(Remastered 2009),The Beatles,https://open.spotify.com/intl-ja/track/3KfbEIOC7YIv90FIfNSZpo?si=554cb6254e2e4204
7,乾杯,"Ob-La-Di, Ob-La-Da (2018 Mix)",The Beatles,https://open.spotify.com/intl-ja/track/2bboWbWhFazeNTgTUXCejf?si=4c9dc8834d524a71
8,前半歓談,Butter,BTS,https://open.spotify.com/intl-ja/track/1mWdTewIgB3gtBM3TOSFhB?si=3243dc5db67d4760
9,前半歓談,I WANT YOU BACK,TWICE,https://open.spotify.com/intl-ja/track/0Dsbej1ME76kebKBGE0ROD?si=25a425900fcc42fd
10,前半歓談,Celebrate,TWICE,https://open.spotify.com/intl-ja/track/5ZwlnR8yGofZ0669mEh8Xm?si=35c356061ccc4975
11,前半歓談,Smeraldo Garden Marching Band,"Jimin, Loco",https://open.spotify.com/intl-ja/track/1agDCV4zQqaFwJQNsTgmL1?si=3ddff416045b42fe
12,前半歓談,Blue Jeans,HANA,https://open.spotify.com/intl-ja/track/5klNADgwB1K5j2quV0SCDL?si=2605bf7bb63c46a7
13,前半歓談,Flowerwall,米津玄師,https://open.spotify.com/intl-ja/track/4ZvArhJ7yds6f2yEyfDHjY?si=0c85085b337748d8
14,前半歓談,O&O,RADWIMPS,https://open.spotify.com/intl-ja/track/3ZNA1cHS4kdG3u51x7tbzB?si=c534d63cf5a14415
15,前半歓談,Lovers,sumika,https://open.spotify.com/intl-ja/track/6IEqiEgTQn4FwE0seKXFZO?si=00f08ac549cd47c0
16,前半歓談,紫陽花のような恋,TOMORROW X TOGETHER,https://open.spotify.com/intl-ja/track/31PF8eu76bgCLNzNm0ZmBX?si=18cafa4ac5c64c4a
17,お色直し中座,パジャマパーティーズのうた,Pajama Parties,https://open.spotify.com/intl-ja/track/56kp1bjrqOIS51QI3mYKuJ?si=23133269c1d743ea
18,プロフィールムービー,Wherever you are,ONE OK ROCK,https://open.spotify.com/intl-ja/track/1TZjEATJpF5LaVL7oJHDMn?si=676112498033473c
19,中座中の歓談,ガーデン,藤井 風,https://open.spotify.com/intl-ja/track/5U4PgFWzfzY7VEg9Ck4ziF?si=92a7cfdc4c124be9
20,中座中の歓談,アイラヴユー,SUPER BEAVER,https://open.spotify.com/intl-ja/track/2xHwvj0q58iAEHsL36jKRm?si=35115408bd104cd1
21,中座中の歓談,幾億光年,Omoinotake,https://open.spotify.com/intl-ja/track/4dmruTsdHIOjfOIeaFitXK?si=193d4e200e1049c8
22,中座中の歓談,Dear Bride,西野カナ,https://open.spotify.com/intl-ja/track/07VCRu2jqC8C8rlDPu4ovQ?si=9df64f8d9618435f
23,中座中の歓談,すきっ！- 超ver,超ときめき♡宣伝部,https://open.spotify.com/intl-ja/track/4k3vWI14pw0q7FVwNhehWp?si=945260dead934458
24,中座中の歓談,走れ！,ももいろクローバー,https://open.spotify.com/intl-ja/track/45R1m5osIXo92tgY1eHTeW?si=c4727722be5f49dd
